ent,mun,est,pea,ocupados,informales
7,49,3,48.408,90.836,82.308
7,49,4,58.226,99.709,99.932
7,49,5,5.598,5.358,10.699
7,50,1,54.091,97.622,95.563
7,50,2,2.883,5.038,10.681
7,50,3,49.349,89.336,77.994
7,50,4,58.833,98.118,96.266
7,50,5,5.33,5.16,11.177
7,51,1,57.148,98.237,74.02
7,51,2,2.931,4.858,9.749
7,51,3,52.327,90.246,57.985
7,51,4,61.969,98.39,90.055
7,51,5,5.129,4.946,13.17
7,52,1,51.181,99.984,87.994
7,52,2,2.539,4.805,7.837
7,52,3,47.005,92.081,75.103
7,52,4,55.357,99.992,88.252
7,52,5,4.96,4.806,8.907
7,53,1,48.572,99.681,100
7,53,2,2.907,5.699,11.353
7,53,3,43.79,90.306,81.326
7,53,4,53.353,99.825,100
7,53,5,5.985,5.718,11.353
7,54,1,57.542,98.71,71.74
7,54,2,2.463,4.151,6.09
7,54,3,53.492,91.882,61.723
7,54,4,61.593,98.872,81.758
7,54,5,4.28,4.205,8.489
7,55,1,53.832,97.828,89.492
7,55,2,2.91,5.116,10.537
7,55,3,49.046,89.414,72.16
7,55,4,58.619,98.289,90.572
7,55,5,5.406,5.229,11.774
7,56,1,51.267,99.528,100
7,56,2,2.999,5.578,10.635
7,56,3,46.334,90.353,82.507
7,56,4,56.199,99.682,100
7,56,5,5.849,5.605,10.635
7,57,1,57.735,94.532,83.058
7,57,2,0.397,0.973,0.689
7,57,3,57.082,92.931,81.924
7,57,4,58.387,96.132,84.192
7,57,5,0.687,1.029,0.83
7,58,1,57.725,97.82,100
7,58,2,2.897,4.747,9.696
7,58,3,52.96,90.011,84.051
7,58,4,62.49,98.327,100
7,58,5,5.019,4.853,9.696
7,59,1,52.951,99.706,74.758
7,59,2,1.97,3.584,4.744
7,59,3,49.71,93.81,66.955
7,59,4,56.192,99.736,82.56
7,59,5,3.721,3.595,6.345
7,60,1,51.385,99.829,100
7,60,2,2.953,5.48,10.38
7,60,3,46.528,90.815,82.927
7,60,4,56.243,99.91,100
7,60,5,5.747,5.489,10.38
7,61,1,58.447,97.926,70.92
7,61,2,2.945,4.77,9.559
7,61,3,53.603,90.081,55.196
7,61,4,63.29,98.042,86.643
7,61,5,5.038,4.871,13.479
7,62,1,54.263,98.568,84.759
7,62,2,2.923,5.11,6.741
7,62,3,49.455,90.162,73.67
7,62,4,59.072,98.79,95.847
7,62,5,5.387,5.184,7.954
7,63,1,57.578,98.007,100
7,63,2,2.885,4.742,9.99
7,63,3,52.832,90.207,83.568
7,63,4,62.324,98.519,100
7,63,5,5.011,4.839,9.99
7,64,1,49.913,100,67.295
7,64,2,2.119,4.154,4.204
7,64,3,46.427,93.168,60.38
7,64,4,53.399,100,74.21
7,64,5,4.246,4.154,6.248
7,65,1,57.269,97.108,69.834
7,65,2,2.233,3.809,5.04
7,65,3,53.595,90.842,61.544
7,65,4,60.942,97.228,78.123
7,65,5,3.9,3.923,7.217
